"Country","Region","Year","Population","Life.Expectancy","Health.Expenditure"
"Costa Rica","Latin America & Caribbean",1995,3468918,76.80880488,219.9462904
"Cote d'Ivoire","Sub-Saharan Africa",1995,14677200,51.05136585,37.92612511
"Croatia","Europe & Central Asia",1995,4669000,72.08439024,323.3719068
"Cuba","Latin America & Caribbean",1995,10900795,75.2067561,111.8448017
"Cyprus","Europe & Central Asia",1995,855424,77.26231707,706.3804455
"Czech Republic","Europe & Central Asia",1995,10327253,73.07487805,374.4310488
"Denmark","Europe & Central Asia",1995,5233373,75.21268293,2827.299759
"Djibouti","Middle East & North Africa",1995,626537,52.62419512,31.99253183
"Dominican Republic","Latin America & Caribbean",1995,7916309,69.59173171,108.3197485
"Ecuador","Latin America & Caribbean",1995,11384506,71.252,72.90344452
"Egypt, Arab Rep.","Middle East & North Africa",1995,62063810,65.59346341,37.44267234
"El Salvador","Latin America & Caribbean",1995,5733401,68.91380488,105.6978223
"Equatorial Guinea","Sub-Saharan Africa",1995,442527,48.24260976,21.83153613
"Eritrea","Sub-Saharan Africa",1995,3212503,52.40460976,8.433300418
"Estonia","Europe & Central Asia",1995,1436634,67.54390244,164.7858513
"Ethiopia","Sub-Saharan Africa",1995,57042197,49.31363415,3.805632427
"Fiji","East Asia & Pacific",1995,775651,66.63890244,77.74015923
"Finland","Europe & Central Asia",1995,5107790,76.4095122,2010.204221
"France","Europe & Central Asia",1995,59555439,77.75121951,2741.333692
"Gabon","Sub-Saharan Africa",1995,1087327,61.09760976,136.3501403
"Gambia, The","Sub-Saharan Africa",1995,1126183,53.71353659,22.73855825
"Georgia","Europe & Central Asia",1995,4734000,70.49026829,29.01632333
"Germany","Europe & Central Asia",1995,81678051,76.42195122,3124.275511
"Ghana","Sub-Saharan Africa",1995,16996901,57.99292683,19.96894909
"Greece","Europe & Central Asia",1995,10634385,77.58536585,1063.911422
"Grenada","Latin America & Caribbean",1995,100163,71.68536585,190.5235207
"Guatemala","Latin America & Caribbean",1995,10015675,64.98639024,53.7335983
"Guinea","Sub-Saharan Africa",1995,7565235,45.65185366,27.0584614
"Guinea-Bissau","Sub-Saharan Africa",1995,1125392,43.67529268,25.50951017
"Guyana","Latin America & Caribbean",1995,727979,62.2924878,43.26337355
"Haiti","Latin America & Caribbean",1995,7877569,57.14607317,22.59973072
"Honduras","Latin America & Caribbean",1995,5575099,68.607,37.91905487
"Hungary","Europe & Central Asia",1995,10328965,69.79170732,323.2269577
"Iceland","Europe & Central Asia",1995,267468,77.98439024,2213.016501
"India","South Asia",1995,964486155,59.83156098,15.73572481
"Indonesia","East Asia & Pacific",1995,199400339,63.97770732,19.8062839
"Iran, Islamic Rep.","Middle East & North Africa",1995,59757114,68.15446341,68.23097353
"Ireland","Europe & Central Asia",1995,3608841,75.57085366,1237.505598
"Israel","Middle East & North Africa",1995,5545000,77.45121951,1324.920705
"Italy","Europe & Central Asia",1995,56844303,78.01439024,1437.511637
"Jamaica","Latin America & Caribbean",1995,2480000,70.26346341,96.62362412
"Japan","East Asia & Pacific",1995,125439000,79.53634146,2891.413366
"Jordan","Middle East & North Africa",1995,4195000,71.4124878,127.1383081
"Kazakhstan","Europe & Central Asia",1995,15815626.38,64.9195122,48.24822076
"Kenya","Sub-Saharan Africa",1995,27425720,56.14921951,14.03375221
"Kiribati","East Asia & Pacific",1995,77248,59.43902439,70.39449176
"Korea, Rep.","East Asia & Pacific",1995,45093000,73.39439024,441.894088
"Kuwait","Middle East & North Africa",1995,1627911,73.29421951,628.1961821
"Kyrgyz Republic","Europe & Central Asia",1995,4560400,65.7902439,22.32242556
"Lao PDR","East Asia & Pacific",1995,4795112,58.18214634,15.25084643
"Latvia","Europe & Central Asia",1995,2485056,66.39121951,115.3385002
"Lebanon","Middle East & North Africa",1995,3462974,69.84007317,360.9360079
"Lesotho","Sub-Saharan Africa",1995,1794531,56.93787805,36.62989499
"Liberia","Sub-Saharan Africa",1995,2094591,42.247,0
"Libya","Middle East & North Africa",1995,4775009,70.65312195,187.0684146
"Lithuania","Europe & Central Asia",1995,3629102,69.00634146,99.68036152
"Luxembourg","Europe & Central Asia",1995,408625,76.51219512,2815.880294
"Macedonia, FYR","Europe & Central Asia",1995,1963484,72.0875122,200.7193262
"Madagascar","Sub-Saharan Africa",1995,13129227,54.85473171,6.736196001
"Malawi","Sub-Saharan Africa",1995,9883350,46.64268293,7.134838273
"Malaysia","East Asia & Pacific",1995,20720810,71.16343902,124.0931647
"Maldives","South Asia",1995,248712,65.25373171,90.72809102
"Mali","Sub-Saharan Africa",1995,9824510,45.6975122,14.41308033
"Malta","Middle East & North Africa",1995,370433,77.14390244,591.2562821
"Mauritania","Sub-Saharan Africa",1995,2292053,56.65270732,29.44986431
"Mauritius","Sub-Saharan Africa",1995,1122457,70.32585366,128.5976076
"Mexico","Latin America & Caribbean",1995,92272749,72.73763415,177.2120845
"Micronesia, Fed. Sts.","East Asia & Pacific",1995,107233,66.7597561,189.069848
"Moldova","Europe & Central Asia",1995,3675099,66.71587805,30.02743236
"Mongolia","East Asia & Pacific",1995,2306131,61.26156098,19.83732627
"Montenegro","Europe & Central Asia",1995,643227,75.80412195,134.2495574
"Morocco","Middle East & North Africa",1995,26928600,66.61331707,47.87337522
"Mozambique","Sub-Saharan Africa",1995,15933452,45.41095122,7.621471708
"Myanmar","East Asia & Pacific",1995,42133199,60.07834146,2.559207131
"Namibia","Sub-Saharan Africa",1995,1651352,60.36073171,131.3904283
"Nepal","South Asia",1995,21594872,57.46863415,10.3941506
"Netherlands","Europe & Central Asia",1995,15459006,77.40463415,2256.667297
"New Zealand","East Asia & Pacific",1995,3673400,76.73414634,1188.858081
"Nicaragua","Latin America & Caribbean",1995,4637040,67.30419512,57.76637932
"Niger","Sub-Saharan Africa",1995,9178575,44.4775122,7.027463053
"Nigeria","Sub-Saharan Africa",1995,110014688,45.11570732,37.62323656
"Norway","Europe & Central Asia",1995,4359184,77.73658537,3122.078999
"Oman","Middle East & North Africa",1995,2232018,73.04302439,222.8874855
"Pakistan","South Asia",1995,127346713,62.04573171,15.16170985
"Palau","East Asia & Pacific",1995,17254,71.84463415,724.5260282
"Panama","Latin America & Caribbean",1995,2676926,73.28321951,228.0227395
"Papua New Guinea","East Asia & Pacific",1995,4715617,57.35195122,35.95514202
"Paraguay","Latin America & Caribbean",1995,4795365,68.88021951,111.9301481
"Peru","Latin America & Caribbean",1995,23827163,67.98478049,100.8185044
"Philippines","East Asia & Pacific",1995,69255386,66.01853659,36.91565447
"Poland","Europe & Central Asia",1995,38594998,71.89268293,198.9525321
"Portugal","Europe & Central Asia",1995,10030376,75.31219512,873.8012851
"Qatar","Middle East & North Africa",1995,501371,75.28273171,601.2919169
"Romania","Europe & Central Asia",1995,22684270,69.45609756,53.46326946
"Russian Federation","Europe & Central Asia",1995,148141000,65.22121951,112.9984123
"Rwanda","Sub-Saharan Africa",1995,5570206,30.47317073,10.3458127
"Samoa","East Asia & Pacific",1995,168257,67.51502439,55.92837495
"Sao Tome and Principe","Sub-Saharan Africa",1995,127935,61.6612439,58.91974358
"Saudi Arabia","Middle East & North Africa",1995,18491845,70.47268293,227.993044
"Senegal","Sub-Saharan Africa",1995,8369125,54.36307317,22.93506421
"Sierra Leone","Sub-Saharan Africa",1995,3898363,37.20870732,34.18819945
"Singapore","East Asia & Pacific",1995,3524500,76.39512195,379.1411429
"Slovak Republic","Europe & Central Asia",1995,5361999,72.25365854,221.4541447
"Slovenia","Europe & Central Asia",1995,1989872,73.95853659,785.0682234
"Solomon Islands","East Asia & Pacific",1995,356404,59.69595122,47.31181921
"Somalia","Sub-Saharan Africa",1995,6524697,44.71217073,4.617992892
"South Africa","Sub-Saharan Africa",1995,39120000,59.88741463,270.9442208
"Spain","Europe & Central Asia",1995,39387017,77.98073171,1127.904409
"Sri Lanka","South Asia",1995,18136000,69.22885366,24.50414947
"St. Lucia","Latin America & Caribbean",1995,145437,71.43414634,181.0605384
"St. Vincent and the Grenadines","Latin America & Caribbean",1995,108087,70.01841463,109.9173002
"Sudan","Sub-Saharan Africa",1995,24538815,54.29097561,15.50589319
"Suriname","Latin America & Caribbean",1995,435920,67.80585366,82.49559126
"Swaziland","Sub-Saharan Africa",1995,963591,56.39373171,87.45248949
"Sweden","Europe & Central Asia",1995,8826939,78.7404878,2288.950104
"Switzerland","Europe & Central Asia",1995,7040687,78.41707317,4270.824645
"Syrian Arab Republic","Middle East & North Africa",1995,14171130,72.83553659,51.69369976
"Tajikistan","Europe & Central Asia",1995,5775404,62.37460976,3.05721148
"Tanzania","Sub-Saharan Africa",1995,29943732,49.5737561,6.282208132
"Thailand","East Asia & Pacific",1995,59650157,72.26117073,99.47389707
"Togo","Sub-Saharan Africa",1995,4085492,54.05009756,17.29147986
"Tonga","East Asia & Pacific",1995,95907,70.11926829,87.23481575
"Trinidad and Tobago","Latin America & Caribbean",1995,1261443,68.99709756,198.1865467
"Tunisia","Middle East & North Africa",1995,8957500,71.35365854,129.5635684
"Turkey","Europe & Central Asia",1995,58864649,66.07309756,95.49118806
"Turkmenistan","Europe & Central Asia",1995,4188010,63.03073171,43.02047946
"Uganda","Sub-Saharan Africa",1995,20831075,44.86529268,15.30524819
"Ukraine","Europe & Central Asia",1995,51512298.61,67.11707317,49.06154122
"United Arab Emirates","Middle East & North Africa",1995,2348539,73.43485366,737.9431078
"United Kingdom","Europe & Central Asia",1995,58019030,76.83658537,1362.195446
"United States","North America",1995,266278000,75.62195122,3747.692121
"Uruguay","Latin America & Caribbean",1995,3223401,73.47626829,934.1144209
"Uzbekistan","Europe & Central Asia",1995,22785000,66.31760976,28.65832202
"Vanuatu","East Asia & Pacific",1995,168263,65.45934146,43.21763981
"Venezuela, RB","Latin America & Caribbean",1995,22043000,72.1695122,143.865097
"Vietnam","East Asia & Pacific",1995,71995500,69.43168293,14.53484289
"Yemen, Rep.","Middle East & North Africa",1995,15148172,57.37890244,39.47933316
"Zambia","Sub-Saharan Africa",1995,8919456,43.51526829,21.83678219
"Zimbabwe","Sub-Saharan Africa",1995,11684693,53.09839024,97.73810755
"Albania","Europe & Central Asia",1996,3112597,72.24107317,43.04585912
"Algeria","Middle East & North Africa",1996,28786855,68.7344878,61.7699582
"Angola","Sub-Saharan Africa",1996,12452725,42.50160976,18.53179493
"Argentina","Latin America & Caribbean",1996,35287113,72.84629268,619.1318441
"Armenia","Europe & Central Asia",1996,3172185,69.02943902,29.26083051
"Australia","East Asia & Pacific",1996,18311000,78.07804878,1760.462837
"Austria","Europe & Central Asia",1996,7959017,76.98365854,2811.081798
"Azerbaijan","Europe & Central Asia",1996,7763000,64.994,24.80044296
"Bahamas, The","Latin America & Caribbean",1996,283677,70.34804878,879.8801445
"Bahrain","Middle East & North Africa",1996,574914,73.2802439,485.8072241
"Bangladesh","South Asia",1996,119928682,62.66212195,11.49715689
"Barbados","Latin America & Caribbean",1996,264237,75.04263415,464.9801692
"Belarus","Europe & Central Asia",1996,10160000,68.61219512,88.26239934
"Belgium","Europe & Central Asia",1996,10156637,77.18731707,2148.286059
"Belize","Latin America & Caribbean",1996,222000,73.22114634,103.8966353
"Benin","Sub-Saharan Africa",1996,5821985,51.3245122,18.60061854
"Bhutan","South Asia",1996,520529,57.62943902,37.46879672
"Bolivia","Latin America & Caribbean",1996,7637622,61.48729268,44.82368206
"Bosnia and Herzegovina","Europe & Central Asia",1996,3305672,69.71419512,93.97065382
"Botswana","Sub-Saharan Africa",1996,1623704,57.47765854,124.9455052
"Brazil","Latin America & Caribbean",1996,164342524,68.73156098,349.931989
"Brunei Darussalam","East Asia & Pacific",1996,297188,75.22392683,637.7559702
"Bulgaria","Europe & Central Asia",1996,8362826,70.89731707,55.27925164
"Burkina Faso","Sub-Saharan Africa",1996,10992170,49.15943902,11.86230176
"Burundi","Sub-Saharan Africa",1996,6140258,44.75841463,8.055769405
"Cambodia","East Asia & Pacific",1996,11458858,56.25726829,29.06056863
"Cameroon","Sub-Saharan Africa",1996,14287475,51.59990244,34.47433331
"Canada","North America",1996,29671900,78.2304878,1828.837371
"Cape Verde","Sub-Saharan Africa",1996,404166,67.60319512,60.25957229
"Central African Republic","Sub-Saharan Africa",1996,3406451,45.48017073,11.83849103
"Chad","Sub-Saharan Africa",1996,7219081,49.58585366,12.22629272
"Chile","Latin America & Caribbean",1996,14630769,75.33963415,373.0966799
"China","East Asia & Pacific",1996,1217550000,70.59902439,26.43395356
"Colombia","Latin America & Caribbean",1996,37112621,69.75760976,213.6164725
"Comoros","Sub-Saharan Africa",1996,507062,56.94214634,20.60519301
"Congo, Dem. Rep.","Sub-Saharan Africa",1996,45295039,45.59668293,4.249300939
"Congo, Rep.","Sub-Saharan Africa",1996,2810118,54.42146341,25.88431619
"Costa Rica","Latin America & Caribbean",1996,3557095,77.02165854,221.457935
"Cote d'Ivoire","Sub-Saharan Africa",1996,15089912,50.74712195,44.70398662
"Croatia","Europe & Central Asia",1996,4494000,72.36536585,369.1260043
"Cuba","Latin America & Caribbean",1996,10949206,75.4572439,119.355224
"Cyprus","Europe & Central Asia",1996,873277,77.4057561,754.9958554
"Czech Republic","Europe & Central Asia",1996,10315241,73.71463415,403.3384441
"Denmark","Europe & Central Asia",1996,5263074,75.59146341,2878.187882
"Djibouti","Middle East & North Africa",1996,644434,52.86539024,30.67193109
"Dominican Republic","Latin America & Caribbean",1996,8054768,69.85960976,112.4990954
"Ecuador","Latin America & Caribbean",1996,11584074,71.70946341,80.84272201
"Egypt, Arab Rep.","Middle East & North Africa",1996,63120498,66.33558537,45.61968968
"El Salvador","Latin America & Caribbean",1996,5791403,69.11129268,134.993196
"Equatorial Guinea","Sub-Saharan Africa",1996,457321,48.4,26.50892425
"Eritrea","Sub-Saharan Africa",1996,3263016,53.227,7.760802627
"Estonia","Europe & Central Asia",1996,1415594,69.61219512,218.0862889
"Ethiopia","Sub-Saharan Africa",1996,58774378,49.77526829,4.222360416
"Fiji","East Asia & Pacific",1996,784713,66.8402439,87.28135888
"Finland","Europe & Central Asia",1996,5124573,76.69341463,2011.353485
"France","Europe & Central Asia",1996,59798609,77.95365854,2738.562538
"Gabon","Sub-Saharan Africa",1996,1118215,60.87943902,150.2005121
"Gambia, The","Sub-Saharan Africa",1996,1158308,53.95963415,24.65505556
"Georgia","Europe & Central Asia",1996,4616100,70.62929268,45.96064889
"Germany","Europe & Central Asia",1996,81914831,76.67317073,3100.753783
"Ghana","Sub-Saharan Africa",1996,17429209,57.9684878,20.44699322
"Greece","Europe & Central Asia",1996,10709173,77.68536585,1112.598367
"Grenada","Latin America & Caribbean",1996,100707,72.05968293,203.4322866
"Guatemala","Latin America & Caribbean",1996,10246429,65.54380488,55.67396767
"Guinea","Sub-Saharan Africa",1996,7805735,46.04882927,27.78160698
"Guinea-Bissau","Sub-Saharan Africa",1996,1147908,43.8855122,20.2808109
"Guyana","Latin America & Caribbean",1996,728990,62.64787805,47.86845951
"Haiti","Latin America & Caribbean",1996,8031903,57.46107317,23.84424143
"Honduras","Latin America & Caribbean",1996,5706605,69.05453659,35.48307283
"Hungary","Europe & Central Asia",1996,10311238,70.32878049,315.3165681
"Iceland","Europe & Central Asia",1996,268916,78.77780488,2274.576366
"India","South Asia",1996,982553253,60.17860976,15.85800609
"Indonesia","East Asia & Pacific",1996,202257039,64.32780488,22.45919155
"Iran, Islamic Rep.","Middle East & North Africa",1996,60815686,68.60319512,86.20833046
"Iraq","Middle East & North Africa",1996,21545638,71.31178049,8.532080636
"Ireland","Europe & Central Asia",1996,3637510,75.78536585,1328.207138
"Israel","Middle East & North Africa",1996,5692000,78.10487805,1421.778459
"Italy","Europe & Central Asia",1996,56860281,78.33195122,1634.46979
"Jamaica","Latin America & Caribbean",1996,2509923.425,70.25526829,123.0235648
"Japan","East Asia & Pacific",1996,125761000,80.2002439,2600.126773
"Jordan","Middle East & North Africa",1996,4325045,71.56109756,132.2225268
"Kazakhstan","Europe & Central Asia",1996,15577894.26,64.1097561,58.14490015
"Kenya","Sub-Saharan Africa",1996,28191597,55.23631707,17.72541265
"Korea, Rep.","East Asia & Pacific",1996,45525000,73.82109756,493.5892529
"Kuwait","Middle East & North Africa",1996,1628120,73.39565854,670.2866372
"Kyrgyz Republic","Europe & Central Asia",1996,4628400,66.54390244,24.751517
"Lao PDR","East Asia & Pacific",1996,4907960,58.89558537,17.57613179
"Latvia","Europe & Central Asia",1996,2457222,68.77658537,140.7090756
"Lebanon","Middle East & North Africa",1996,3539137,70.0154878,414.4023495
"Lesotho","Sub-Saharan Africa",1996,1829222,55.25160976,34.41202173
"Liberia","Sub-Saharan Africa",1996,2203809,42.62707317,0
"Libya","Middle East & North Africa",1996,4862665,71.13378049,190.2346902
"Lithuania","Europe & Central Asia",1996,3601613,70.10804878,130.6363838
"Luxembourg","Europe & Central Asia",1996,414225,76.5195122,2810.233395
"Macedonia, FYR","Europe & Central Asia",1996,1973283,72.25019512,202.2720334
"Madagascar","Sub-Saharan Africa",1996,13547271,55.80307317,9.302407353
"Malawi","Sub-Saharan Africa",1996,10070605,46.41214634,10.45025529
"Malaysia","East Asia & Pacific",1996,21247102,71.3685122,136.7372325
"Maldives","South Asia",1996,253960,66.25185366,112.0258252
"Mali","Sub-Saharan Africa",1996,10092753,46.01304878,21.58289635
"Malta","Middle East & North Africa",1996,372687,77.2902439,639.5736176
"Mauritania","Sub-Saharan Africa",1996,2357678,56.73146341,23.30843362
"Mauritius","Sub-Saharan Africa",1996,1133996,70.32292683,135.4311103
"Mexico","Latin America & Caribbean",1996,93858373,73.09429268,184.1060703
"Micronesia, Fed. Sts.","East Asia & Pacific",1996,107904,66.86770732,174.5158354
"Moldova","Europe & Central Asia",1996,3667748,66.61812195,40.14913409
"Mongolia","East Asia & Pacific",1996,2325369,61.49907317,20.53055637
"Montenegro","Europe & Central Asia",1996,644121,75.68431707,98.48825995
"Morocco","Middle East & North Africa",1996,27323664,67.04836585,51.5572843
"Mozambique","Sub-Saharan Africa",1996,16412893,45.91082927,8.458423576
"Myanmar","East Asia & Pacific",1996,42735941,60.52641463,2.530114667
"Namibia","Sub-Saharan Africa",1996,1700975,59.95790244,134.7092741
"Nepal","South Asia",1996,22137784,58.2735122,10.7466985
"Netherlands","Europe & Central Asia",1996,15530498,77.43560976,2210.615552
"New Zealand","East Asia & Pacific",1996,3732000,76.78780488,1277.928324
"Nicaragua","Latin America & Caribbean",1996,4733164,67.78190244,58.33204443
"Niger","Sub-Saharan Africa",1996,9499892,45.22534146,6.759058726
"Nigeria","Sub-Saharan Africa",1996,112618306,45.13321951,52.92157555
"Norway","Europe & Central Asia",1996,4381336,78.1504878,3180.385132
"Oman","Middle East & North Africa",1996,2258730,73.29053659,237.8275928
"Pakistan","South Asia",1996,130737306,62.282,15.0987552
"Panama","Latin America & Caribbean",1996,2731717,73.46585366,245.12047
"Papua New Guinea","East Asia & Pacific",1996,4840693,57.63085366,38.85140858
"Paraguay","Latin America & Caribbean",1996,4905150,69.07980488,121.2468697
"Peru","Latin America & Caribbean",1996,24248671,68.49209756,103.7652118
"Philippines","East Asia & Pacific",1996,70831419,66.18063415,41.42704153
"Poland","Europe & Central Asia",1996,38624370,72.24634146,240.4704645
"Portugal","Europe & Central Asia",1996,10057861,75.26097561,938.9258094
"Qatar","Middle East & North Africa",1996,512422,75.49580488,640.648455
"Romania","Europe & Central Asia",1996,22619004,69.10487805,52.87103678
"Russian Federation","Europe & Central Asia",1996,147739000,66.19414634,146.6043859
"Rwanda","Sub-Saharan Africa",1996,5803830,33.97580488,10.99523552
"Samoa","East Asia & Pacific",1996,169969,67.95426829,69.31246841
"San Marino","Europe & Central Asia",1996,25897,79.1195122,2929.517227
"Sao Tome and Principe","Sub-Saharan Africa",1996,130499,61.80363415,69.78489687
"Saudi Arabia","Middle East & North Africa",1996,18786467,70.69560976,248.3618144
"Senegal","Sub-Saharan Africa",1996,8591861,54.60453659,24.08110977
"Sierra Leone","Sub-Saharan Africa",1996,3898177,37.41887805,37.00160833
"Singapore","East Asia & Pacific",1996,3670700,76.74634146,769.7657191
"Slovak Republic","Europe & Central Asia",1996,5373361,72.65365854,253.4417282
"Slovenia","Europe & Central Asia",1996,1988628,74.45853659,811.8607602
"Solomon Islands","East Asia & Pacific",1996,366363,60.29658537,46.57937916
"Somalia","Sub-Saharan Africa",1996,6628554,45.42792683,4.93193825
"South Africa","Sub-Saharan Africa",1996,40000246.95,59.06270732,271.1459139
"Spain","Europe & Central Asia",1996,39478186,78.1204878,1176.675537
"Sri Lanka","South Asia",1996,18336000,69.1782439,26.13269018
"St. Lucia","Latin America & Caribbean",1996,147062,71.54878049,208.6694843
"St. Vincent and the Grenadines","Latin America & Caribbean",1996,108049,70.10019512,115.8503481
"Sudan","Sub-Saharan Africa",1996,25160191,54.71034146,11.47487823
"Suriname","Latin America & Caribbean",1996,441896,67.83597561,144.347836
"Swaziland","Sub-Saharan Africa",1996,984632,55.008,87.95654767
"Sweden","Europe & Central Asia",1996,8840998,78.95902439,2564.233203
"Switzerland","Europe & Central Asia",1996,7071850,78.89609756,4266.357113
"Syrian Arab Republic","Middle East & North Africa",1996,14518843,73.11295122,59.48382827
"Tajikistan","Europe & Central Asia",1996,5860334,62.56131707,5.52973549
"Tanzania","Sub-Saharan Africa",1996,30783155,49.56763415,7.227818606
"Thailand","East Asia & Pacific",1996,60258113,72.25392683,115.9729658
"Togo","Sub-Saharan Africa",1996,4208738,54.21117073,18.21428139
"Tonga","East Asia & Pacific",1996,96196,70.2385122,96.20535153
"Trinidad and Tobago","Latin America & Caribbean",1996,1268851,68.91290244,196.5735109
"Tunisia","Middle East & North Africa",1996,9089300,71.55365854,128.4128387
"Turkey","Europe & Central Asia",1996,59821978,66.74597561,116.6936064
"Turkmenistan","Europe & Central Asia",1996,4267690,63.2077561,18.099747
"Uganda","Sub-Saharan Africa",1996,21473592,44.7917561,14.90511467
"Ukraine","Europe & Central Asia",1996,51057188.98,67.31073171,53.81212448
"United Arab Emirates","Middle East & North Africa",1996,2473983,73.68009756,731.2627993
"United Kingdom","Europe & Central Asia",1996,58166950,77.08780488,1435.140089
"United States","North America",1996,269394000,75.99658537,3899.976933
"Uruguay","Latin America & Caribbean",1996,3235549,73.52804878,821.8951744
"Uzbekistan","Europe & Central Asia",1996,23225000,66.43263415,40.74676417
"Vanuatu","East Asia & Pacific",1996,171783,65.8994878,38.92579119
"Venezuela, RB","Latin America & Caribbean",1996,22502000,72.3795122,105.9768924
"Vietnam","East Asia & Pacific",1996,73156700,69.98985366,16.58291879
"Yemen, Rep.","Middle East & North Africa",1996,15710211,57.72378049,25.0885402
"Zambia","Sub-Saharan Africa",1996,9161931,43.0084878,21.01976226
"Zimbabwe","Sub-Saharan Africa",1996,11891290,51.12426829,98.85423058
"Albania","Europe & Central Asia",1997,3091902,72.69607317,36.13520839
"Algeria","Middle East & North Africa",1997,29242917,69.02565854,66.89333634
"Angola","Sub-Saharan Africa",1997,12792237,43.06163415,28.4047932
"Antigua and Barbuda","Latin America & Caribbean",1997,72322,74.73170732,372.3061575
"Argentina","Latin America & Caribbean",1997,35714929,73.06739024,685.9666339
"Armenia","Europe & Central Asia",1997,3134836,69.49163415,30.28430879
"Australia","East Asia & Pacific",1997,18517000,78.4804878,1761.073558
"Austria","Europe & Central Asia",1997,7968041,77.38756098,2559.309244
"Azerbaijan","Europe & Central Asia",1997,7838250,65.46239024,27.29444862
"Bahamas, The","Latin America & Caribbean",1997,287217,70.66270732,958.6658311
"Bahrain","Middle East & North Africa",1997,592986,73.41346341,504.1904908
"Bangladesh","South Asia",1997,122370403,63.19656098,9.267028798
"Barbados","Latin America & Caribbean",1997,265088,75.12739024,493.8718695
"Belarus","Europe & Central Asia",1997,10117000,68.46097561,91.07781094
"Belgium","Europe & Central Asia",1997,10181245,77.37073171,1905.237829
"Belize","Latin America & Caribbean",1997,230000,73.30070732,111.3801848
"Benin","Sub-Saharan Africa",1997,5988093,51.67407317,16.33317897
"Bhutan","South Asia",1997,528222,58.56214634,49.6307364
"Bolivia","Latin America & Caribbean",1997,7804333,61.86573171,44.90497412
"Bosnia and Herzegovina","Europe & Central Asia",1997,3365616,71.34795122,88.86015434
"Botswana","Sub-Saharan Africa",1997,1660538,55.65153659,137.5418759
"Brazil","Latin America & Caribbean",1997,166869168,69.10909756,355.4743668
"Brunei Darussalam","East Asia & Pacific",1997,304726,75.48090244,633.8904842
"Bulgaria","Europe & Central Asia",1997,8312068,70.35121951,63.86652878
"Burkina Faso","Sub-Saharan Africa",1997,11301608,49.36997561,10.91257905
"Burundi","Sub-Saharan Africa",1997,6181493,45.02670732,8.143476438
"Cambodia","East Asia & Pacific",1997,11731187,56.49226829,23.44717788
"Cameroon","Sub-Saharan Africa",1997,14631908,51.19153659,28.93214797
"Canada","North America",1997,29987200,78.4804878,1873.002802
"Cape Verde","Sub-Saharan Africa",1997,412893,68.03704878,56.58519381
"Central African Republic","Sub-Saharan Africa",1997,3484027,44.89163415,10.55410828
"Chad","Sub-Saharan Africa",1997,7448585,49.3045122,11.49602723
