"Date" "TemperatureF" "DewPointF" "Humidity" "Sea_Pressure" "Visibility" "CloudCover" "Events"
2016-08-05 77 60 58 29.95 10 2 "Normal"
2016-08-06 80 66 67 29.7 10 3 "Rain"
2016-08-07 81 56 48 29.8 10 2 "Normal"
2016-08-08 76 54 48 30.01 10 2 "Normal"
2016-08-09 77 56 54 30.17 10 3 "Normal"
2016-08-10 74 70 82 30.14 9 6 "Rain"
2016-08-11 86 74 73 30 10 2 "Normal"
2016-08-12 88 73 62 29.83 10 6 "Thunderstorm"
2016-08-13 75 67 87 29.93 8 8 "Thunderstorm"
2016-08-14 83 71 68 29.88 9 6 "Thunderstorm"
2016-08-15 82 64 54 30.1 10 4 "Normal"
2016-08-16 75 67 77 30.14 10 6 "Rain"
2016-08-17 79 65 67 29.9 10 5 "Normal"
2016-08-18 80 62 55 29.95 10 3 "Normal"
2016-08-19 74 64 72 29.93 10 3 "Normal"
2016-08-20 76 61 66 29.97 10 3 "Normal"
2016-08-21 72 65 80 29.91 10 2 "Normal"
2016-08-22 73 60 68 29.86 8 5 "Rain"
2016-08-23 72 50 50 30.23 10 0 "Normal"
2016-08-24 77 59 57 30.2 10 2 "Normal"
2016-08-25 78 64 64 30.04 10 5 "Normal"
2016-08-26 82 69 67 29.96 10 5 "Normal"
2016-08-27 76 60 56 30.16 10 2 "Normal"
2016-08-28 72 63 74 30.22 10 2 "Normal"
2016-08-29 80 59 57 30.07 10 3 "Normal"
2016-08-30 71 58 64 30.1 10 2 "Normal"
2016-08-31 75 65 72 29.93 10 6 "Rain"
2016-09-01 72 67 75 29.84 10 7 "Rain"
2016-09-02 70 57 70 30.04 10 2 "Normal"
2016-09-03 65 57 76 30.21 10 6 "Normal"
2016-09-04 66 57 72 30.27 10 1 "Normal"
2016-09-05 67 56 73 30.14 8 7 "Rain"
2016-09-06 68 65 92 30.06 6 7 "Rain"
2016-09-07 71 67 91 30.04 7 7 "Rain"
2016-09-08 71 68 91 29.89 7 7 "Fog"
2016-09-09 83 68 66 29.84 10 6 "Normal"
2016-09-10 74 66 78 30.02 10 5 "Normal"
2016-09-11 73 62 62 29.92 10 6 "Thunderstorm"
2016-09-12 66 49 55 30.2 10 1 "Normal"
2016-09-13 72 55 58 30.15 10 0 "Normal"
2016-09-14 76 60 64 30.01 10 3 "Thunderstorm"
2016-09-15 62 49 67 30.25 10 2 "Normal"
2016-09-16 62 52 68 30.31 10 2 "Normal"
2016-09-17 67 56 65 30.2 10 4 "Normal"
2016-09-18 74 67 78 30.03 10 7 "Normal"
2016-09-19 71 70 94 30.05 9 8 "Rain"
2016-09-20 71 68 90 30.09 9 7 "Normal"
2016-09-21 76 54 57 30.13 10 4 "Normal"
2016-09-22 70 56 60 30.14 10 1 "Normal"
2016-09-23 69 53 65 30.02 9 7 "Rain"
2016-09-24 61 44 64 30.09 10 4 "Normal"
2016-09-25 58 35 47 30.12 10 0 "Normal"
2016-09-26 56 42 58 30.15 10 3 "Normal"
2016-09-27 66 59 83 29.93 9 7 "Rain"
2016-09-28 59 55 90 30.21 10 7 "Normal"
2016-09-29 57 49 74 30.46 10 6 "Normal"
2016-09-30 59 52 83 30.43 9 7 "Rain"
2016-10-01 57 56 97 30.28 3 8 "Rain"
2016-10-02 55 54 93 30.11 7 8 "Rain"
2016-10-03 62 56 84 30.04 10 6 "Normal"
2016-10-04 57 52 79 30.33 10 5 "Rain"
2016-10-05 54 48 79 30.35 10 1 "Normal"
2016-10-06 58 49 63 30.3 10 0 "Normal"
2016-10-07 61 53 82 30.27 10 0 "Normal"
2016-10-08 60 58 89 30.1 10 6 "Rain"
2016-10-09 57 55 93 30.01 6 8 "Rain"
2016-10-10 52 35 63 30.15 10 2 "Normal"
2016-10-11 52 35 52 30.43 10 1 "Normal"
2016-10-12 55 48 77 30.34 10 2 "Normal"
2016-10-13 62 54 77 30.07 10 5 "Rain"
2016-10-14 53 36 51 30.29 10 1 "Normal"
2016-10-15 49 39 72 30.4 10 3 "Normal"
2016-10-16 59 50 75 30.09 10 4 "Normal"
2016-10-17 69 59 76 29.89 10 5 "Normal"
2016-10-18 63 59 87 29.88 6 6 "Rain"
2016-10-19 72 57 62 29.93 10 1 "Normal"
2016-10-20 59 53 78 30.19 9 5 "Rain"
2016-10-21 67 63 92 29.7 4 8 "Thunderstorm"
2016-10-22 55 56 83 29.27 6 8 "Rain"
2016-10-23 51 32 50 29.61 10 3 "Normal"
2016-10-24 54 34 50 29.82 10 3 "Normal"
2016-10-25 44 25 52 30.11 10 2 "Normal"
2016-10-26 43 26 52 30.34 10 2 "Normal"
2016-10-27 42 36 80 30.39 8 7 "Rain"
2016-10-28 50 46 92 29.91 6 8 "Rain"
2016-10-29 50 41 77 29.99 10 7 "Rain"
2016-10-30 56 48 77 29.86 10 8 "Rain"
2016-10-31 45 34 68 30.11 10 3 "Normal"
